"species","year","individual","ph1","ph2","ph3","ph4"
"Acer saccharum","2022","1",85,97,111,125
"Acer saccharum","2022","2",85,97,111,125
"Acer saccharum","2022","3",89,100,114,125
"Acer saccharum","2022","4",89,100,114,125
"Acer saccharum","2022","5",89,100,114,125
"Acer saccharum","2023","1",76,87,99,125
"Acer saccharum","2023","2",74,85,96,125
"Acer saccharum","2023","3",73,83,92,125
"Acer saccharum","2023","4",71,81,90,108
"Acer saccharum","2023","5",71,81,90,108
"Fagus grandifolia","2022","1",86,95,107,125
"Fagus grandifolia","2022","2",91,106,125,125
"Fagus grandifolia","2022","3",95,108,125,125
"Fagus grandifolia","2022","4",89,103,125,125
"Fagus grandifolia","2022","5",100,111,122,125
"Fagus grandifolia","2023","1",70,80,91,125
"Fagus grandifolia","2023","2",70,78,87,100
"Fagus grandifolia","2023","3",76,87,99,125
"Fagus grandifolia","2023","4",85,97,125,125
"Fagus grandifolia","2023","5",70,78,87,100
"Liriodendron tulipifera","2022","1",77,87,97,113
"Liriodendron tulipifera","2022","2",80,90,100,125
"Liriodendron tulipifera","2022","3",80,90,100,125
"Liriodendron tulipifera","2022","4",80,90,100,125
"Liriodendron tulipifera","2022","5",82,95,107,125
"Liriodendron tulipifera","2023","1",76,87,99,125
"Liriodendron tulipifera","2023","2",68,78,88,111
"Liriodendron tulipifera","2023","3",68,78,88,111
"Liriodendron tulipifera","2023","4",74,85,96,125
"Liriodendron tulipifera","2023","5",71,81,90,108
