"species","year","individual","ph1","ph2","ph3","ph4"
"Acer saccharum","2023","1",76,87,99,150
"Acer saccharum","2023","2",74,85,96,129
"Acer saccharum","2023","3",73,83,92,150
"Acer saccharum","2023","4",71,81,90,108
"Acer saccharum","2023","5",71,81,90,108
"Fagus grandifolia","2023","1",70,80,91,150
"Fagus grandifolia","2023","2",70,78,87,100
"Fagus grandifolia","2023","3",76,87,99,150
"Fagus grandifolia","2023","4",85,97,150,150
"Fagus grandifolia","2023","5",70,78,87,100
"Liriodendron tulipifera","2023","1",76,87,99,150
"Liriodendron tulipifera","2023","2",68,78,88,111
"Liriodendron tulipifera","2023","3",68,78,88,111
"Liriodendron tulipifera","2023","4",74,85,96,129
"Liriodendron tulipifera","2023","5",71,81,90,108
