"species","year","individual","ph1","ph2","ph3","ph4"
"Acer saccharum","2022","1",256.136136136136,338.708708708709,419.584584584585,576.811811811812
"Acer saccharum","2022","2",256.136136136136,338.708708708709,419.584584584585,576.811811811812
"Acer saccharum","2022","3",282.152152152152,356.241241241241,430.33033033033,600
"Acer saccharum","2022","4",282.152152152152,356.241241241241,430.33033033033,600
"Acer saccharum","2022","5",282.152152152152,356.241241241241,430.33033033033,600
"Acer saccharum","2023","1",369.249249249249,445.035035035035,520.255255255255,600
"Acer saccharum","2023","2",361.896896896897,435.42042042042,508.378378378378,600
"Acer saccharum","2023","3",353.978978978979,419.584584584585,484.059059059059,600
"Acer saccharum","2023","4",347.192192192192,411.101101101101,473.878878878879,596.041041041041
"Acer saccharum","2023","5",347.192192192192,411.101101101101,473.878878878879,596.041041041041
"Fagus grandifolia","2022","1",261.226226226226,321.741741741742,383.388388388388,594.90990990991
"Fagus grandifolia","2022","2",296.856856856857,391.871871871872,507.247247247247,600
"Fagus grandifolia","2022","3",416.191191191191,490.845845845846,555.32032032032,600
"Fagus grandifolia","2022","4",282.717717717718,368.118118118118,475.01001001001,600
"Fagus grandifolia","2022","5",300.25025025025,381.126126126126,469.91991991992,600
"Fagus grandifolia","2023","1",301.381381381381,372.077077077077,442.207207207207,599.434434434434
"Fagus grandifolia","2023","2",340.970970970971,402.052052052052,461.436436436436,569.459459459459
"Fagus grandifolia","2023","3",382.257257257257,470.485485485486,575.680680680681,600
"Fagus grandifolia","2023","4",439.944944944945,536.656656656657,600,600
"Fagus grandifolia","2023","5",315.520520520521,374.339339339339,428.633633633634,512.902902902903
"Liriodendron tulipifera","2022","1",210.325325325325,274.7997997998,332.487487487487,413.363363363363
"Liriodendron tulipifera","2022","2",222.767767767768,289.504504504505,352.847847847848,452.952952952953
"Liriodendron tulipifera","2022","3",222.767767767768,289.504504504505,352.847847847848,452.952952952953
"Liriodendron tulipifera","2022","4",222.767767767768,289.504504504505,352.847847847848,452.952952952953
"Liriodendron tulipifera","2022","5",240.865865865866,321.741741741742,398.093093093093,524.214214214214
"Liriodendron tulipifera","2023","1",394.6996996997,478.968968968969,576.811811811812,600
"Liriodendron tulipifera","2023","2",295.16016016016,373.208208208208,449.55955955956,594.344344344344
"Liriodendron tulipifera","2023","3",312.127127127127,383.953953953954,453.518518518519,579.63963963964
"Liriodendron tulipifera","2023","4",360.2002002002,442.772772772773,530.435435435435,600
"Liriodendron tulipifera","2023","5",357.372372372372,425.24024024024,495.935935935936,600
