"species","year","individual","ph1","ph2","ph3","ph4"
"Acer saccharum","2023","1",364.159159159159,445.035035035035,525.910910910911,600
"Acer saccharum","2023","2",351.716716716717,429.764764764765,507.247247247247,600
"Acer saccharum","2023","3",341.536536536537,408.273273273273,473.313313313313,597.172172172172
"Acer saccharum","2023","4",329.65965965966,395.265265265265,457.477477477478,559.844844844845
"Acer saccharum","2023","5",329.65965965966,395.265265265265,457.477477477478,559.844844844845
"Fagus grandifolia","2023","1",314.954954954955,390.175175175175,464.82982982983,600
"Fagus grandifolia","2023","2",319.479479479479,381.691691691692,439.379379379379,524.214214214214
"Fagus grandifolia","2023","3",364.159159159159,445.035035035035,525.910910910911,600
"Fagus grandifolia","2023","4",537.787787787788,546.271271271271,555.32032032032,575.680680680681
"Fagus grandifolia","2023","5",319.479479479479,381.691691691692,439.379379379379,524.214214214214
"Liriodendron tulipifera","2023","1",364.159159159159,445.035035035035,525.910910910911,600
"Liriodendron tulipifera","2023","2",299.684684684685,374.904904904905,446.731731731732,565.5005005005
"Liriodendron tulipifera","2023","3",299.684684684685,374.904904904905,446.731731731732,565.5005005005
"Liriodendron tulipifera","2023","4",351.716716716717,429.764764764765,507.247247247247,600
"Liriodendron tulipifera","2023","5",329.65965965966,395.265265265265,457.477477477478,559.844844844845
