DATE,TMIN,TMAX
1/1/1981,-2.5,13.4
1/2/1981,-5.4,3.3
1/3/1981,-5.2,7.2
1/4/1981,-10.3,11
1/5/1981,-14.1,-2.1
1/6/1981,-12.2,2.5
1/7/1981,-5.1,3.1
1/8/1981,-15.2,-2.4
1/9/1981,-11.4,2.5
1/10/1981,-8.8,-0.4
1/11/1981,-14,-3.1
1/12/1981,-18.1,-4.3
1/13/1981,-18.2,-0.9
1/14/1981,-8.8,7.2
1/15/1981,-7.6,8.5
1/16/1981,-6.7,5.8
1/17/1981,-11.2,-0.6
1/18/1981,-10,-0.3
1/19/1981,-6.5,10.3
1/20/1981,-3,10.7
1/21/1981,0.7,6.7
1/22/1981,0.2,5.3
1/23/1981,-4.4,6.1
1/24/1981,-6,8.4
1/25/1981,-3.3,15.4
1/26/1981,5.9,19.8
1/27/1981,0.3,15.6
1/28/1981,-5.2,11
1/29/1981,-4.2,12.6
1/30/1981,-4.1,3.5
1/31/1981,-11.9,2.6
2/1/1981,-7.7,6.7
2/2/1981,-6.1,6.3
2/3/1981,-8.8,-1.3
2/4/1981,-12.7,-0.9
2/5/1981,-11.7,0.2
2/6/1981,-9.9,3.9
2/7/1981,-5.2,8.7
2/8/1981,-4,7.7
2/9/1981,-8.4,2.2
2/10/1981,-6.3,10
2/11/1981,-12.2,12.6
2/12/1981,-18.2,-6.3
2/13/1981,-14.5,-4.1
2/14/1981,-9.1,4.1
2/15/1981,-5.6,11.1
2/16/1981,-0.6,17.6
2/17/1981,7,14.8
2/18/1981,7.2,17.2
2/19/1981,9,16.9
2/20/1981,5.4,19.5
2/21/1981,0.1,18.5
2/22/1981,2.8,20.8
2/23/1981,4.1,18.5
2/24/1981,2.8,10.8
2/25/1981,-2.7,16
2/26/1981,-0.5,24.5
2/27/1981,1.9,21
2/28/1981,6.6,25.1
3/1/1981,6.5,16.5
3/2/1981,0.8,6.9
3/3/1981,-4.9,12.8
3/4/1981,-4.8,10.4
3/5/1981,4,9.3
3/6/1981,-2.1,6.7
3/7/1981,-2.6,10.1
3/8/1981,-2.6,7.4
3/9/1981,-5.6,8.5
3/10/1981,-4.1,11.4
3/11/1981,-2.8,16
3/12/1981,-4.8,13.3
3/13/1981,-4.3,16.4
3/14/1981,-0.9,16.5
3/15/1981,-3.4,12.6
3/16/1981,-2.6,14.5
3/17/1981,-4.6,9.2
3/18/1981,-2.1,22.2
3/19/1981,-3.6,9.4
3/20/1981,-3,6.7
3/21/1981,-0.8,12.6
3/22/1981,4.5,14.5
3/23/1981,1.8,7.1
3/24/1981,-2.5,13.3
3/25/1981,-1.7,16.1
3/26/1981,3.4,18.5
3/27/1981,7.2,22.4
3/28/1981,5.5,24.6
3/29/1981,7.1,25.8
3/30/1981,11.6,23.9
3/31/1981,7,23.3
4/1/1981,10.2,29.5
4/2/1981,2.6,23.6
4/3/1981,6.7,27.7
4/4/1981,14.8,25.4
4/5/1981,4,22.4
4/6/1981,0.8,16.8
4/7/1981,3.2,17.1
4/8/1981,10.3,23.8
4/9/1981,15.2,23.1
4/10/1981,14.9,24.7
4/11/1981,13.1,27.2
4/12/1981,15.4,27.6
4/13/1981,14.3,28.2
4/14/1981,17.4,28.9
4/15/1981,4.1,24.3
4/16/1981,5.6,19.2
4/17/1981,12.3,25
4/18/1981,15.4,25.5
4/19/1981,14.2,27.2
4/20/1981,12.2,23.2
4/21/1981,3.9,16.1
4/22/1981,8.2,20.6
4/23/1981,14.6,22.1
4/24/1981,9.5,20.3
4/25/1981,3.5,18
4/26/1981,7.1,23.4
4/27/1981,11,29.6
4/28/1981,12.4,30
4/29/1981,16.1,29.8
4/30/1981,14.9,26.7
5/1/1981,8.2,27.1
5/2/1981,4.7,22.9
5/3/1981,4.8,21.3
5/4/1981,7.9,24.9
5/5/1981,13.4,27.6
5/6/1981,15.7,27.1
5/7/1981,8.6,17.5
5/8/1981,6.6,19.9
5/9/1981,11.5,24.5
5/10/1981,15.2,24.1
5/11/1981,6.3,22.4
5/12/1981,6.2,11.2
5/13/1981,6.8,18.3
5/14/1981,10.8,24.9
5/15/1981,8.5,20.8
5/16/1981,6.9,20.8
5/17/1981,8.8,22.2
5/18/1981,12.1,20.2
5/19/1981,12.2,22.7
5/20/1981,9.2,17.8
5/21/1981,5.4,21.4
5/22/1981,6.8,24.6
5/23/1981,10.9,27.4
5/24/1981,13,28.7
5/25/1981,14.9,29.1
5/26/1981,16.7,28.7
5/27/1981,16.4,22.8
5/28/1981,12.7,24.9
5/29/1981,13.6,28
5/30/1981,16.8,30
5/31/1981,18,27.5
6/1/1981,18.2,24.7
6/2/1981,17.5,27
6/3/1981,17.9,28.3
6/4/1981,20.1,27.9
6/5/1981,19.6,27.4
6/6/1981,19.3,30.2
6/7/1981,18.1,26.2
6/8/1981,18.3,29
6/9/1981,21,31
6/10/1981,23.7,32.6
6/11/1981,18.2,29.2
6/12/1981,19,28.1
6/13/1981,20.4,31.1
6/14/1981,20.8,32.1
6/15/1981,20.2,32.4
6/16/1981,21.1,32.3
6/17/1981,14.3,30.7
6/18/1981,14.1,27
6/19/1981,15.4,29.1
6/20/1981,17.9,26.7
6/21/1981,19.6,31.3
6/22/1981,23.2,31.1
6/23/1981,16.3,32.5
6/24/1981,16.6,30
6/25/1981,20.1,33.8
6/26/1981,16.3,34.1
6/27/1981,14.3,29.2
6/28/1981,15.2,29.6
6/29/1981,19.4,31.6
6/30/1981,18.4,29.3
7/1/1981,19.7,30
7/2/1981,18,29.6
7/3/1981,19.5,29.5
7/4/1981,18.4,28.1
7/5/1981,18.6,30.4
7/6/1981,20.3,27.1
7/7/1981,20.6,27.4
7/8/1981,20.5,32
7/9/1981,20.9,33.6
7/10/1981,22.4,34.4
7/11/1981,20.2,33.8
7/12/1981,20.7,32.9
7/13/1981,21.3,33.6
7/14/1981,22.4,34.5
7/15/1981,22.1,34.5
7/16/1981,22.1,34.3
7/17/1981,22.3,33.3
7/18/1981,19.8,30.8
7/19/1981,20.8,31.4
7/20/1981,22.8,33.7
7/21/1981,18.3,33.9
7/22/1981,17.4,31.4
7/23/1981,16.7,29.2
7/24/1981,19.8,27.8
7/25/1981,18.2,32.5
7/26/1981,18.5,26.9
7/27/1981,20.5,33.1
7/28/1981,21.8,32.8
7/29/1981,18.5,31.5
7/30/1981,13.5,23.5
7/31/1981,14.3,26.5
8/1/1981,16.6,29.2
8/2/1981,18.2,29.4
8/3/1981,18.5,29.5
8/4/1981,19.6,31.3
8/5/1981,21.3,34
8/6/1981,22.4,34.1
8/7/1981,19.6,32.9
8/8/1981,16.8,28.6
8/9/1981,16.9,29.1
8/10/1981,16.8,30.6
8/11/1981,17.5,32.1
8/12/1981,15.8,30
8/13/1981,13.5,28.3
8/14/1981,14,30.1
8/15/1981,17.8,32.1
8/16/1981,20.5,31.4
8/17/1981,17.8,29.8
8/18/1981,17,26
8/19/1981,17.8,23.3
8/20/1981,17.9,22
8/21/1981,15.6,26
8/22/1981,17,26.9
8/23/1981,17.1,28.1
8/24/1981,17.3,29.8
8/25/1981,17.6,31.2
8/26/1981,17.3,31.6
8/27/1981,18.7,31.6
8/28/1981,19.2,27.3
8/29/1981,20,28.8
8/30/1981,18,29.7
8/31/1981,18.5,30.6
9/1/1981,19.7,31.7
9/2/1981,20.5,28.9
9/3/1981,20.5,25.7
9/4/1981,15.9,27.4
9/5/1981,14.6,26.5
9/6/1981,15.4,27.4
9/7/1981,16,29.4
9/8/1981,17.2,29.6
9/9/1981,10,25.6
9/10/1981,11.1,25.8
9/11/1981,11.6,27.6
9/12/1981,12.8,29.5
9/13/1981,14,30.5
9/14/1981,16.6,31.1
9/15/1981,18.3,29.3
9/16/1981,13.1,23
9/17/1981,8.9,21.1
9/18/1981,7.1,18.6
9/19/1981,5.8,17.3
9/20/1981,6,20.4
9/21/1981,7.8,24.4
9/22/1981,11.3,25.7
9/23/1981,7.8,27
9/24/1981,6.5,21.8
9/25/1981,9.3,25.8
