Date,tmin (degrees C),tmean (degrees C),tmax (degrees C)
1/1/2021,0.6,4,7.3
1/2/2021,4.7,13.1,21.3
1/3/2021,1.9,4.6,7.2
1/4/2021,-2,3.2,8.5
1/5/2021,-1.1,5.8,13
1/6/2021,-2.5,3.5,9.5
1/7/2021,-1.8,3,8.1
1/8/2021,0.6,2.8,5
1/9/2021,0.1,1.4,2.4
1/10/2021,-1.1,-0.1,0.8
1/11/2021,-2.9,-0.7,1.6
1/12/2021,-4.6,-2.4,-0.1
1/13/2021,-5.5,0,5.5
1/14/2021,-4.4,2.8,10.1
1/15/2021,0.4,8.2,16.1
1/16/2021,0.1,4.1,8.3
1/17/2021,0.4,2.3,4.2
1/18/2021,-1.2,3.5,8.4
1/19/2021,0.2,5.2,10.5
1/20/2021,-1.2,5.6,12.5
1/21/2021,-2,3.1,7.9
1/22/2021,-1.1,3.8,8.9
1/23/2021,-4.6,1.5,7.6
1/24/2021,-5,1.2,7.4
1/25/2021,3.1,5.8,8.3
1/26/2021,5.5,10.2,14.8
1/27/2021,-1,6.3,13.8
1/28/2021,-3.4,-0.1,3.2
1/29/2021,-5.8,-1.6,2.4
1/30/2021,-5.6,1,7.5
1/31/2021,2.7,7.5,12.1
2/1/2021,0.4,6.1,11.8
2/2/2021,-3.6,-0.1,3.5
2/3/2021,-4.4,-0.2,4.1
2/4/2021,-4.8,1.1,6.9
2/5/2021,-2.3,4.1,10.4
2/6/2021,-3,2.9,8.7
2/7/2021,-3.2,2.6,8.3
2/8/2021,-7.4,-2.8,1.5
2/9/2021,-5.9,0.5,6.5
2/10/2021,0.4,3.5,6.4
2/11/2021,-1.7,2.5,6.3
2/12/2021,-4.2,-2.8,-1.4
2/13/2021,-5.5,-4,-3.2
2/14/2021,-8.3,-6.5,-4.8
2/15/2021,-9.5,-8.1,-6.8
2/16/2021,-14.1,-10.4,-6.7
2/17/2021,-14.9,-11.9,-8.8
2/18/2021,-10.4,-7.3,-4.1
2/19/2021,-11.7,-6.7,-1.8
2/20/2021,-13.2,-7.1,-1.2
2/21/2021,-11.9,-3.6,4.6
2/22/2021,-4.2,4.3,12.9
2/23/2021,3.4,7.7,12
2/24/2021,3.4,11.5,19.5
2/25/2021,1.9,11.2,20.5
2/26/2021,1.1,6.8,12.5
2/27/2021,5.3,9.4,13.5
2/28/2021,9.8,14,18.1
3/1/2021,5.1,13.3,20.9
3/2/2021,-0.3,3.8,8
3/3/2021,-2.5,3.4,8.5
3/4/2021,-2.3,7.3,17
3/5/2021,0.7,10.1,19.2
3/6/2021,-0.9,3.5,7.6
3/7/2021,-2,5.2,12.1
3/8/2021,-2.3,7,15.8
3/9/2021,-0.8,9.8,19.5
3/10/2021,3,12.3,21.1
3/11/2021,12.4,17.1,21.3
3/12/2021,15,18.8,22.5
3/13/2021,10.3,12.9,16.2
3/14/2021,9.4,10.8,12.4
3/15/2021,9.9,12.8,16
3/16/2021,9.7,15,20.7
3/17/2021,10.3,16.7,23.2
3/18/2021,11,13.5,16
3/19/2021,4.5,9.3,14.1
3/20/2021,2.4,7,11.1
3/21/2021,1.4,9.3,17
3/22/2021,2.5,11,18.9
3/23/2021,8.3,14.7,20.8
3/24/2021,12.7,15.7,18.4
3/25/2021,10.8,17.3,23.8
3/26/2021,11.4,16.6,21.4
3/27/2021,8.9,15,21.2
3/28/2021,10.7,16,20.8
3/29/2021,0.6,7.8,15
3/30/2021,1.9,10.2,18
3/31/2021,8.5,16.5,24.3
4/1/2021,-0.3,6.1,12.9
4/2/2021,-2.4,3,8.3
4/3/2021,-1.8,4.9,11.9
4/4/2021,1,10.2,19.1
4/5/2021,5.3,14.4,23.1
4/6/2021,8.8,16.8,25.2
4/7/2021,13.8,20.4,26.6
4/8/2021,14.8,20.9,26.8
4/9/2021,10.5,16.6,22.8
4/10/2021,13,20.8,27.9
4/11/2021,10.6,16,21.3
4/12/2021,7.6,14.5,21.4
4/13/2021,9.5,16.9,24.1
4/14/2021,11.5,16.7,22
4/15/2021,7.1,10.7,14.4
4/16/2021,3.1,9.6,16
4/17/2021,5.3,11.6,17.6
4/18/2021,4.4,10.2,16.1
4/19/2021,5.1,11.3,17.5
4/20/2021,4.6,12.5,20.3
4/21/2021,0.8,11.7,22.6
4/22/2021,1.3,6.4,11.3
4/23/2021,4.2,9.8,15.2
4/24/2021,7.4,11.8,15.6
4/25/2021,10.1,11.7,13.4
4/26/2021,6.5,13.7,20.7
4/27/2021,9.9,17.9,25.8
4/28/2021,16.7,22.4,27.8
4/29/2021,19.2,21.9,24.3
4/30/2021,9.8,15.8,21.7
5/1/2021,7.9,16.3,24.2
5/2/2021,10.2,18.3,25.3
5/3/2021,14.5,18.5,22.4
5/4/2021,17.9,22.4,26.6
5/5/2021,12.5,18.7,24.9
5/6/2021,5.9,12.1,17.8
5/7/2021,5.8,13.3,20.5
5/8/2021,8,14.7,20.6
5/9/2021,11.6,15.1,18.2
5/10/2021,8.6,14.4,20.2
5/11/2021,6.9,11.5,16.6
5/12/2021,9.2,15,20.3
5/13/2021,6.2,12.5,18.8
5/14/2021,4.9,12.8,19.8
5/15/2021,6.4,14.4,22.1
5/16/2021,11.1,17.6,23.4
5/17/2021,13.3,19.5,24.8
5/18/2021,15.3,20,24.4
5/19/2021,16.9,21,25
5/20/2021,17.6,22.7,27.4
5/21/2021,16,22.4,28.5
5/22/2021,15.1,21.9,28.4
5/23/2021,14.7,22.5,29.9
5/24/2021,15.7,23.2,30.2
5/25/2021,16.8,24.1,30.8
5/26/2021,19.1,25.4,31.3
5/27/2021,16.3,20.4,24.2
5/28/2021,17.2,23.3,29
5/29/2021,10.3,18.4,26
5/30/2021,9.8,12.1,14.2
5/31/2021,8.7,15.5,21.9
6/1/2021,12.1,18.7,25.1
6/2/2021,16.8,20.5,23.9
6/3/2021,16.7,20.4,23.9
6/4/2021,13.8,19.9,25.9
6/5/2021,16.1,22.2,28.1
6/6/2021,19.6,24.9,30.2
6/7/2021,19.8,22.6,25.5
6/8/2021,20.9,24.4,27.8
6/9/2021,20.4,23.6,26.6
6/10/2021,21.2,24.7,28.2
6/11/2021,22.1,25.2,28.1
6/12/2021,21.4,26.4,31.4
6/13/2021,20.9,27.3,33.7
6/14/2021,20.2,26.6,33
6/15/2021,17.7,25.1,32.4
6/16/2021,14.8,21.7,28.5
6/17/2021,16.4,23.3,30
6/18/2021,19.2,26,32.1
6/19/2021,20.5,26.2,31.9
6/20/2021,18.9,24.4,29.9
6/21/2021,21.3,26.6,31.8
6/22/2021,14.1,22.2,30
6/23/2021,11.2,17.8,24.3
6/24/2021,14.2,21,27.6
6/25/2021,20.1,25.3,30.4
6/26/2021,21.3,25,28.6
6/27/2021,21.4,26.2,30.9
6/28/2021,21.6,27.2,32.6
6/29/2021,21.5,27.5,33.4
6/30/2021,20.1,26.9,33.8
7/1/2021,21.3,26.4,31.5
7/2/2021,19.8,22.3,24.8
7/3/2021,14.4,20.9,27.4
7/4/2021,15.4,21.6,27.8
7/5/2021,17.1,23.5,29.8
7/6/2021,20.5,26.4,32.2
7/7/2021,20.6,26.8,33
7/8/2021,21.2,25.5,29.8
7/9/2021,21.9,27,32.1
7/10/2021,21.7,27,32.3
7/11/2021,20.7,25.8,30.9
7/12/2021,21.2,24.7,28.3
7/13/2021,20.7,24.9,29.1
7/14/2021,20.8,25,29.2
7/15/2021,21.3,26.3,31.2
7/16/2021,22.5,27.5,32.5
7/17/2021,22.1,27,31.9
7/18/2021,21.3,26,30.8
7/19/2021,20.9,24.9,28.9
7/20/2021,20.4,25.2,30
7/21/2021,19.5,24.9,30.3
7/22/2021,18.9,25,31.2
7/23/2021,19.2,25.1,31
7/24/2021,19,25.1,31.3
7/25/2021,21.5,27.4,33.2
7/26/2021,21.6,28,34.5
7/27/2021,21.9,27.4,32.9
7/28/2021,20.9,27.4,34
7/29/2021,20.9,27.6,34.3
7/30/2021,22.2,28,33.8
7/31/2021,19.7,26.2,32.7
8/1/2021,20.4,26.4,32.4
8/2/2021,17.4,23.3,29.2
8/3/2021,14.5,21.5,28.6
8/4/2021,15.3,22.1,28.8
8/5/2021,14.6,22.1,29.6
8/6/2021,16.7,23.6,30.6
8/7/2021,18.6,24.5,30.4
8/8/2021,20.1,25.8,31.6
8/9/2021,19.9,26,32.2
8/10/2021,21.5,27.5,33.4
8/11/2021,23.3,28.9,34.5
8/12/2021,22.7,28.6,34.4
8/13/2021,22.5,28.4,34.4
8/14/2021,21.7,27.6,33.5
8/15/2021,21.1,26.4,31.8
8/16/2021,20.3,23.6,26.9
8/17/2021,20.4,24.8,29.2
8/18/2021,20.5,26.1,31.6
8/19/2021,22,26.3,30.7
8/20/2021,22,25.3,28.6
8/21/2021,22.5,26.3,30.1
8/22/2021,22,25,28
8/23/2021,21,25.7,30.4
8/24/2021,21.8,27.7,33.7
8/25/2021,21,27.9,34.9
8/26/2021,21.7,28.3,34.9
8/27/2021,22.7,28.8,34.9
8/28/2021,22.2,27.6,33.1
8/29/2021,21.6,27.6,33.6
8/30/2021,21.7,27.5,33.2
8/31/2021,20.7,24.8,29
9/1/2021,18.8,21.4,24
9/2/2021,15.8,22,28.2
9/3/2021,13.7,20.9,28.1
9/4/2021,14.4,21.3,28.1
9/5/2021,16.1,22.5,28.9
9/6/2021,13.8,19.3,24.9
9/7/2021,13,21,29
9/8/2021,13.8,21.6,29.3
9/9/2021,13,19.7,26.4
