Date,tmin (degrees F),tmean (degrees F),tmax (degrees F)
1/1/1981,27.5,41.8,56.1
1/2/1981,22.4,30.1,37.9
1/3/1981,22.6,33.8,45
1/4/1981,13.4,32.6,51.9
1/5/1981,6.5,17.4,28.2
1/6/1981,10,23.2,36.5
1/7/1981,22.8,30.2,37.5
1/8/1981,4.6,16.2,27.7
1/9/1981,11.4,24,36.5
1/10/1981,16.2,23.7,31.3
1/11/1981,6.9,16.6,26.4
1/12/1981,-0.6,11.9,24.3
1/13/1981,-0.7,14.8,30.4
1/14/1981,16.1,30.5,44.9
1/15/1981,18.3,32.8,47.3
1/16/1981,19.9,31.2,42.5
1/17/1981,11.8,21.4,31
1/18/1981,13.9,22.7,31.5
1/19/1981,20.3,35.4,50.6
1/20/1981,26.7,39,51.3
1/21/1981,33.2,38.6,44
1/22/1981,32.5,37,41.6
1/23/1981,24.1,33.5,42.9
1/24/1981,21.2,34.2,47.1
1/25/1981,26.1,42.9,59.7
1/26/1981,42.6,55.1,67.7
1/27/1981,32.6,46.4,60.1
1/28/1981,22.7,37.3,51.9
1/29/1981,24.5,39.6,54.7
1/30/1981,24.6,31.4,38.3
1/31/1981,10.6,23.6,36.6
2/1/1981,18.2,31.1,44
2/2/1981,21.1,32.2,43.3
2/3/1981,16.1,22.8,29.6
2/4/1981,9.1,19.7,30.3
2/5/1981,10.9,21.6,32.4
2/6/1981,14.2,26.6,38.9
2/7/1981,22.5,35.1,47.7
2/8/1981,24.8,35.3,45.8
2/9/1981,17,26.5,36
2/10/1981,20.7,35.4,50
2/11/1981,10,32.4,54.8
2/12/1981,-0.8,10,20.7
2/13/1981,5.9,15.3,24.6
2/14/1981,15.5,27.4,39.3
2/15/1981,22,36.9,51.9
2/16/1981,31,47.3,63.6
2/17/1981,44.5,51.6,58.7
2/18/1981,45,54,62.9
2/19/1981,48.1,55.3,62.4
2/20/1981,41.7,54.4,67
2/21/1981,32.3,48.8,65.3
2/22/1981,37.1,53.3,69.4
2/23/1981,39.5,52.4,65.3
