STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00401790,"CLARKSVILLE WWTP, TN US",1/1/1900,,,0,0,,-2.8,-10.6,
USC00401790,"CLARKSVILLE WWTP, TN US",1/2/1900,,,0,0,,-0.6,-14.4,
USC00401790,"CLARKSVILLE WWTP, TN US",1/3/1900,,,0,0,,3.3,-10.6,
USC00401790,"CLARKSVILLE WWTP, TN US",1/4/1900,,,0,0,,7.2,0,
USC00401790,"CLARKSVILLE WWTP, TN US",1/5/1900,,,0,0,,11.7,1.7,
USC00401790,"CLARKSVILLE WWTP, TN US",1/6/1900,,,0,0,,12.8,1.1,
USC00401790,"CLARKSVILLE WWTP, TN US",1/7/1900,,,0,0,,12.2,2.2,
USC00401790,"CLARKSVILLE WWTP, TN US",1/8/1900,,,0,0,,6.7,1.7,
USC00401790,"CLARKSVILLE WWTP, TN US",1/9/1900,,,0.5,0,,14.4,0,
USC00401790,"CLARKSVILLE WWTP, TN US",1/10/1900,,,13.2,0,,11.7,7.2,
USC00401790,"CLARKSVILLE WWTP, TN US",1/11/1900,,,29,0,,10,3.9,
USC00401790,"CLARKSVILLE WWTP, TN US",1/12/1900,,,0.5,0,,7.2,2.8,
USC00401790,"CLARKSVILLE WWTP, TN US",1/13/1900,,,0,0,,12.2,0,
USC00401790,"CLARKSVILLE WWTP, TN US",1/14/1900,,,0,0,,17.8,7.2,
USC00401790,"CLARKSVILLE WWTP, TN US",1/15/1900,,,0,0,,17.2,6.1,
USC00401790,"CLARKSVILLE WWTP, TN US",1/16/1900,,,0,0,,20,0,
USC00401790,"CLARKSVILLE WWTP, TN US",1/17/1900,,,7.9,0,,17.2,11.7,
USC00401790,"CLARKSVILLE WWTP, TN US",1/18/1900,,,17.5,0,,13.9,11.7,
USC00401790,"CLARKSVILLE WWTP, TN US",1/19/1900,,,38.6,0,,11.7,5,
USC00401790,"CLARKSVILLE WWTP, TN US",1/20/1900,,,2.3,0,,6.1,3.3,
USC00401790,"CLARKSVILLE WWTP, TN US",1/21/1900,,,0,0,,8.3,2.8,
USC00401790,"CLARKSVILLE WWTP, TN US",1/22/1900,,,0,0,,11.1,-1.7,
USC00401790,"CLARKSVILLE WWTP, TN US",1/23/1900,,,0,0,,16.7,1.1,
USC00401790,"CLARKSVILLE WWTP, TN US",1/24/1900,,,0,0,,17.8,2.2,
USC00401790,"CLARKSVILLE WWTP, TN US",1/25/1900,,,0,0,,14.4,-2.2,
USC00401790,"CLARKSVILLE WWTP, TN US",1/26/1900,,,0,0,,2.8,-6.7,
USC00401790,"CLARKSVILLE WWTP, TN US",1/27/1900,,,0,0,,7.2,-4.4,
USC00401790,"CLARKSVILLE WWTP, TN US",1/28/1900,,,1.3,13,,2.2,-7.8,
USC00401790,"CLARKSVILLE WWTP, TN US",1/29/1900,,,0,0,,-3.3,-8.3,
USC00401790,"CLARKSVILLE WWTP, TN US",1/30/1900,,,0,0,,3.3,-4.4,
USC00401790,"CLARKSVILLE WWTP, TN US",1/31/1900,,,0,0,,-4.4,-12.2,
